pokedex_number,name,japanese_name,classfication,type1,type2,height_m,weight_kg,percentage_male,hp,speed,attack,sp_attack,defense,sp_defense,generation,is_legendary,base_egg_steps,experience_growth,capture_rate,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_happiness,base_total,abilities
96,Drowzee,Sleepeスリープ,Hypnosis Pokémon,psychic,,1,32.4,50,60,42,48,43,45,90,1,0,5120,1000000,190,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,70,328,"['Insomnia', 'Forewarn', 'Inner Focus']"
97,Hypno,Sleeperスリーパー,Hypnosis Pokémon,psychic,,1.6,75.6,50,85,67,73,73,70,115,1,0,5120,1000000,75,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,70,483,"['Insomnia', 'Forewarn', 'Inner Focus']"
98,Krabby,Crabクラブ,River Crab Pokémon,water,,0.4,6.5,50,30,50,105,25,90,25,1,0,5120,1000000,225,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,325,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"
99,Kingler,Kinglerキングラー,Pincer Pokémon,water,,1.3,60,50,55,75,130,50,115,50,1,0,5120,1000000,60,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,475,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"
100,Voltorb,Biriridamaビリリダマ,Ball Pokémon,electric,,0.5,10.4,,40,100,30,55,50,55,1,0,5120,1000000,190,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,330,"['Soundproof', 'Static', 'Aftermath']"
101,Electrode,Marumineマルマイン,Ball Pokémon,electric,,1.2,66.6,,60,150,50,80,70,80,1,0,5120,1000000,60,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,490,"['Soundproof', 'Static', 'Aftermath']"
102,Exeggcute,Tamatamaタマタマ,Egg Pokémon,grass,psychic,0.4,2.5,50,60,40,40,60,80,45,1,0,5120,1250000,90,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,70,325,"['Chlorophyll', 'Harvest']"
103,Exeggutor,Nassyナッシー,Coconut Pokémon,grass,psychic,,,50,95,45,105,125,85,75,1,0,5120,1250000,45,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,70,530,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']"
104,Cubone,Karakaraカラカラ,Lonely Pokémon,ground,,0.4,6.5,50,50,35,50,40,95,50,1,0,5120,1000000,190,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,70,320,"['Rock Head', 'Lightningrod', 'Battle Armor']"
105,Marowak,Garagaraガラガラ,Bone Keeper Pokémon,ground,fire,,,50,60,45,80,50,110,80,1,0,5120,1000000,75,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,70,425,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']"
106,Hitmonlee,Sawamularサワムラー,Kicking Pokémon,fighting,,1.5,49.8,100,50,87,120,35,53,110,1,0,6400,1000000,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,455,"['Limber', 'Reckless', 'Unburden']"
107,Hitmonchan,Ebiwalarエビワラー,Punching Pokémon,fighting,,1.4,50.2,100,50,76,105,35,79,110,1,0,6400,1000000,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,455,"['Keen Eye', 'Iron Fist', 'Inner Focus']"
108,Lickitung,Beroringaベロリンガ,Licking Pokémon,normal,,1.2,65.5,50,90,30,55,60,75,75,1,0,5120,1000000,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,385,"['Own Tempo', 'Oblivious', 'Cloud Nine']"
109,Koffing,Dogarsドガース,Poison Gas Pokémon,poison,,0.6,1,50,40,35,65,60,95,45,1,0,5120,1000000,190,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,70,340,['Levitate']
110,Weezing,Matadogasマタドガス,Poison Gas Pokémon,poison,,1.2,9.5,50,65,60,90,85,120,70,1,0,5120,1000000,60,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,70,490,['Levitate']
111,Rhyhorn,Sihornサイホーン,Spikes Pokémon,ground,rock,1,115,50,80,25,85,30,95,30,1,0,5120,1250000,120,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,70,345,"['Lightningrod', 'Rock Head', 'Reckless']"
112,Rhydon,Sidonサイドン,Drill Pokémon,ground,rock,1.9,120,50,105,40,130,45,120,45,1,0,5120,1250000,60,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,70,485,"['Lightningrod', 'Rock Head', 'Reckless']"
113,Chansey,Luckyラッキー,Egg Pokémon,normal,,1.1,34.6,0,250,50,5,35,5,105,1,0,10240,800000,30,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,140,450,"['Natural Cure', 'Serene Grace', 'Healer']"
114,Tangela,Monjaraモンジャラ,Vine Pokémon,grass,,1,35,50,65,60,55,100,115,40,1,0,5120,1000000,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,70,435,"['Chlorophyll', 'Leaf Guard', 'Regenerator']"
115,Kangaskhan,Garuraガルーラ,Parent Pokémon,normal,,2.2,80,0,105,100,125,60,100,100,1,0,5120,1000000,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,590,"['Early Bird', 'Scrappy', 'Inner Focus']"
116,Horsea,Tattuタッツー,Dragon Pokémon,water,,0.4,8,50,30,60,40,70,70,25,1,0,5120,1000000,225,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,295,"['Swift Swim', 'Sniper', 'Damp']"
117,Seadra,Seadraシードラ,Dragon Pokémon,water,,1.2,25,50,55,85,65,95,95,45,1,0,5120,1000000,75,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,440,"['Poison Point', 'Sniper', 'Damp']"
118,Goldeen,Tosakintoトサキント,Goldfish Pokémon,water,,0.6,15,50,45,63,67,35,60,50,1,0,5120,1000000,225,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,320,"['Swift Swim', 'Water Veil', 'Lightningrod']"
119,Seaking,Azumaoアズマオウ,Goldfish Pokémon,water,,1.3,39,50,80,68,92,65,65,80,1,0,5120,1000000,60,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,450,"['Swift Swim', 'Water Veil', 'Lightningrod']"
120,Staryu,Hitodemanヒトデマン,Starshape Pokémon,water,,0.8,34.5,,30,85,45,70,55,55,1,0,5120,1250000,225,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,340,"['Illuminate', 'Natural Cure', 'Analytic']"
121,Starmie,Starmieスターミー,Mysterious Pokémon,water,psychic,1.1,80,,60,115,75,100,85,85,1,0,5120,1250000,60,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,70,520,"['Illuminate', 'Natural Cure', 'Analytic']"
122,Mr. Mime,Barrierdバリヤード,Barrier Pokémon,psychic,fairy,1.3,54.5,50,40,90,45,100,65,120,1,0,6400,1000000,45,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,70,460,"['Soundproof', 'Filter', 'Technician']"
123,Scyther,Strikeストライク,Mantis Pokémon,bug,flying,1.5,56,50,70,105,110,55,80,80,1,0,6400,1000000,45,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,500,"['Swarm', 'Technician', 'Steadfast']"
124,Jynx,Rougelaルージュラ,Humanshape Pokémon,ice,psychic,1.4,40.6,0,65,95,50,115,35,95,1,0,6400,1000000,45,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,70,455,"['Oblivious', 'Forewarn', 'Dry Skin']"
125,Electabuzz,Elebooエレブー,Electric Pokémon,electric,,1.1,30,75.4,65,105,83,95,57,85,1,0,6400,1000000,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,490,"['Static', 'Vital Spirit']"
126,Magmar,Booberブーバー,Spitfire Pokémon,fire,,1.3,44.5,75.4,65,93,95,100,57,85,1,0,6400,1000000,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,495,"['Flame Body', 'Vital Spirit']"
127,Pinsir,Kailiosカイロス,Stagbeetle Pokémon,bug,,1.5,55,50,65,105,155,65,120,90,1,0,6400,1250000,45,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,70,600,"['Hyper Cutter', 'Mold Breaker', 'Moxie']"
128,Tauros,Kentaurosケンタロス,Wild Bull Pokémon,normal,,1.4,88.4,100,75,110,100,40,95,70,1,0,5120,1250000,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,490,"['Intimidate', 'Anger Point', 'Sheer Force']"
129,Magikarp,Koikingコイキング,Fish Pokémon,water,,0.9,10,50,20,80,10,15,55,20,1,0,1280,1250000,255,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,200,"['Swift Swim', 'Rattled']"
130,Gyarados,Gyaradosギャラドス,Atrocious Pokémon,water,flying,6.5,235,50,95,81,155,70,109,130,1,0,1280,1250000,45,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,70,640,"['Intimidate', 'Moxie']"
131,Lapras,Laplaceラプラス,Transport Pokémon,water,ice,2.5,220,50,130,60,85,85,80,95,1,0,10240,1250000,45,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,535,"['Water Absorb', 'Shell Armor', 'Hydration']"
132,Ditto,Metamonメタモン,Transform Pokémon,normal,,0.3,4,,48,48,48,48,48,48,1,0,5120,1000000,35,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,288,"['Limber', 'Imposter']"
133,Eevee,Eievuiイーブイ,Evolution Pokémon,normal,,0.3,6.5,88.1,55,55,55,45,50,65,1,0,8960,1000000,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,325,"['Run Away', 'Adaptability', 'Anticipation']"
134,Vaporeon,Showersシャワーズ,Bubble Jet Pokémon,water,,1,29,88.1,130,65,65,110,60,95,1,0,8960,1000000,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,525,"['Water Absorb', 'Hydration']"
135,Jolteon,Thundersサンダース,Lightning Pokémon,electric,,0.8,24.5,88.1,65,130,65,110,60,95,1,0,8960,1000000,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,525,"['Volt Absorb', 'Quick Feet']"
136,Flareon,Boosterブースター,Flame Pokémon,fire,,0.9,25,88.1,65,65,130,95,60,110,1,0,8960,1000000,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,525,"['Flash Fire', 'Guts']"
137,Porygon,Porygonポリゴン,Virtual Pokémon,normal,,0.8,36.5,,65,40,60,85,70,75,1,0,5120,1000000,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,395,"['Trace', 'Download', 'Analytic']"
138,Omanyte,Omniteオムナイト,Spiral Pokémon,rock,water,0.4,7.5,88.1,35,35,40,90,100,55,1,0,7680,1000000,45,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,70,355,"['Swift Swim', 'Shell Armor', 'Weak Armor']"
139,Omastar,Omstarオムスター,Spiral Pokémon,rock,water,1,35,88.1,70,55,60,115,125,70,1,0,7680,1000000,45,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,70,495,"['Swift Swim', 'Shell Armor', 'Weak Armor']"
140,Kabuto,Kabutoカブト,Shellfish Pokémon,rock,water,0.5,11.5,88.1,30,55,80,55,90,45,1,0,7680,1000000,45,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,70,355,"['Swift Swim', 'Battle Armor', 'Weak Armor']"
141,Kabutops,Kabutopsカブトプス,Shellfish Pokémon,rock,water,1.3,40.5,88.1,60,80,115,65,105,70,1,0,7680,1000000,45,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,70,495,"['Swift Swim', 'Battle Armor', 'Weak Armor']"
142,Aerodactyl,Pteraプテラ,Fossil Pokémon,rock,flying,1.8,59,88.1,80,150,135,70,85,95,1,0,8960,1250000,45,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,70,615,"['Rock Head', 'Pressure', 'Unnerve']"
143,Snorlax,Kabigonカビゴン,Sleeping Pokémon,normal,,2.1,460,88.1,160,30,110,65,65,110,1,0,10240,1250000,25,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,540,"['Immunity', 'Thick Fat', 'Gluttony']"
144,Articuno,Freezerフリーザー,Freeze Pokémon,ice,flying,1.7,55.4,,90,85,85,95,100,125,1,1,20480,1250000,3,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,35,580,"['Pressure', 'Snow Cloak']"
145,Zapdos,Thunderサンダー,Electric Pokémon,electric,flying,1.6,52.6,,90,100,90,125,85,90,1,1,20480,1250000,3,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,35,580,"['Pressure', 'Static']"
146,Moltres,Fireファイヤー,Flame Pokémon,fire,flying,2,60,,90,90,100,125,90,85,1,1,20480,1250000,3,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,35,580,"['Pressure', 'Flame Body']"
147,Dratini,Miniryuミニリュウ,Dragon Pokémon,dragon,,1.8,3.3,50,41,50,64,50,45,50,1,0,10240,1250000,45,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,35,300,"['Shed Skin', 'Marvel Scale']"
148,Dragonair,Hakuryuハクリュー,Dragon Pokémon,dragon,,4,16.5,50,61,70,84,70,65,70,1,0,10240,1250000,45,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,35,420,"['Shed Skin', 'Marvel Scale']"
149,Dragonite,Kairyuカイリュー,Dragon Pokémon,dragon,flying,2.2,210,50,91,80,134,100,95,100,1,0,10240,1250000,45,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,35,600,"['Inner Focus', 'Multiscale']"
150,Mewtwo,Mewtwoミュウツー,Genetic Pokémon,psychic,,2,122,,106,140,150,194,70,120,1,1,30720,1250000,3,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,0,780,"['Pressure', 'Unnerve']"
151,Mew,Mewミュウ,New Species Pokémon,psychic,,0.4,4,,100,100,100,100,100,100,1,1,30720,1059860,45,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,600,['Synchronize']
152,Chikorita,Chicoritaチコリータ,Leaf Pokémon,grass,,0.9,6.4,88.1,45,45,49,49,65,65,2,0,5120,1059860,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,70,318,"['Overgrow', 'Leaf Guard']"
153,Bayleef,Bayleafベイリーフ,Leaf Pokémon,grass,,1.2,15.8,88.1,60,60,62,63,80,80,2,0,5120,1059860,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,70,405,"['Overgrow', 'Leaf Guard']"
154,Meganium,Meganiumメガニウム,Herb Pokémon,grass,,1.8,100.5,88.1,80,80,82,83,100,100,2,0,5120,1059860,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,70,525,"['Overgrow', 'Leaf Guard']"
155,Cyndaquil,Hinoarashiヒノアラシ,Fire Mouse Pokémon,fire,,0.5,7.9,88.1,39,65,52,60,43,50,2,0,5120,1059860,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,309,"['Blaze', 'Flash Fire']"
156,Quilava,Magmarashiマグマラシ,Volcano Pokémon,fire,,0.9,19,88.1,58,80,64,80,58,65,2,0,5120,1059860,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,405,"['Blaze', 'Flash Fire']"
157,Typhlosion,Bakphoonバクフーン,Volcano Pokémon,fire,,1.7,79.5,88.1,78,100,84,109,78,85,2,0,5120,1059860,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,534,"['Blaze', 'Flash Fire']"
158,Totodile,Waninokoワニノコ,Big Jaw Pokémon,water,,0.6,9.5,88.1,50,43,65,44,64,48,2,0,5120,1059860,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,314,"['Torrent', 'Sheer Force']"
159,Croconaw,Alligatesアリゲイツ,Big Jaw Pokémon,water,,1.1,25,88.1,65,58,80,59,80,63,2,0,5120,1059860,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,405,"['Torrent', 'Sheer Force']"
160,Feraligatr,Ordileオーダイル,Big Jaw Pokémon,water,,2.3,88.8,88.1,85,78,105,79,100,83,2,0,5120,1059860,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,530,"['Torrent', 'Sheer Force']"
161,Sentret,Otachiオタチ,Scout Pokémon,normal,,0.8,6,50,35,20,46,35,34,45,2,0,3840,1000000,255,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,215,"['Run Away', 'Keen Eye', 'Frisk']"
162,Furret,Ootachiオオタチ,Long Body Pokémon,normal,,1.8,32.5,50,85,90,76,45,64,55,2,0,3840,1000000,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,415,"['Run Away', 'Keen Eye', 'Frisk']"
163,Hoothoot,Hohoホーホー,Owl Pokémon,normal,flying,0.7,21.2,50,60,50,30,36,30,56,2,0,3840,1000000,255,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,70,262,"['Insomnia', 'Keen Eye', 'Tinted Lens']"
164,Noctowl,Yorunozukuヨルノズク,Owl Pokémon,normal,flying,1.6,40.8,50,100,70,50,86,50,96,2,0,3840,1000000,90,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,70,452,"['Insomnia', 'Keen Eye', 'Tinted Lens']"
165,Ledyba,Redibaレディバ,Five Star Pokémon,bug,flying,1,10.8,50,40,55,20,40,30,80,2,0,3840,800000,255,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,265,"['Swarm', 'Early Bird', 'Rattled']"
166,Ledian,Redianレディアン,Five Star Pokémon,bug,flying,1.4,35.6,50,55,85,35,55,50,110,2,0,3840,800000,90,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,390,"['Swarm', 'Early Bird', 'Iron Fist']"
167,Spinarak,Itomaruイトマル,String Spit Pokémon,bug,poison,0.5,8.5,50,40,30,60,40,40,40,2,0,3840,800000,255,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,70,250,"['Swarm', 'Insomnia', 'Sniper']"
168,Ariados,Ariadosアリアドス,Long Leg Pokémon,bug,poison,1.1,33.5,50,70,40,90,60,70,70,2,0,3840,800000,90,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,70,400,"['Swarm', 'Insomnia', 'Sniper']"
169,Crobat,Crobatクロバット,Bat Pokémon,poison,flying,1.8,75,50,85,130,90,70,80,80,2,0,3840,1000000,90,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,70,535,"['Inner Focus', 'Infiltrator']"
170,Chinchou,Chonchieチョンチー,Angler Pokémon,water,electric,0.5,12,50,75,67,38,56,38,56,2,0,5120,1250000,190,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,70,330,"['Volt Absorb', 'Illuminate', 'Water Absorb']"
171,Lanturn,Lanternランターン,Light Pokémon,water,electric,1.2,22.5,50,125,67,58,76,58,76,2,0,5120,1250000,75,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,70,460,"['Volt Absorb', 'Illuminate', 'Water Absorb']"
172,Pichu,Pichuピチュー,Tiny Mouse Pokémon,electric,,0.3,2,50,20,60,40,35,15,35,2,0,2560,1000000,190,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,205,"['Static', 'Lightningrod']"
173,Cleffa,Pyピィ,Star Shape Pokémon,fairy,,0.3,3,24.6,50,15,25,45,28,55,2,0,2560,800000,150,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,140,218,"['Cute Charm', 'Magic Guard', 'Friend Guard']"
174,Igglybuff,Pupurinププリン,Balloon Pokémon,normal,fairy,0.3,1,24.6,90,15,30,40,15,20,2,0,2560,800000,170,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,210,"['Cute Charm', 'Competitive', 'Friend Guard']"
175,Togepi,Togepyトゲピー,Spike Ball Pokémon,fairy,,0.3,1.5,88.1,35,20,20,40,65,65,2,0,2560,800000,190,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,245,"['Hustle', 'Serene Grace', 'Super Luck']"
176,Togetic,Togechickトゲチック,Happiness Pokémon,fairy,flying,0.6,3.2,88.1,55,40,40,80,85,105,2,0,2560,800000,75,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,70,405,"['Hustle', 'Serene Grace', 'Super Luck']"
177,Natu,Natyネイティ,Little Bird Pokémon,psychic,flying,0.2,2,50,40,70,50,70,45,45,2,0,5120,1000000,190,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,70,320,"['Synchronize', 'Early Bird', 'Magic Bounce']"
178,Xatu,Natioネイティオ,Mystic Pokémon,psychic,flying,1.5,15,50,65,95,75,95,70,70,2,0,5120,1000000,75,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,70,470,"['Synchronize', 'Early Bird', 'Magic Bounce']"
179,Mareep,Merriepメリープ,Wool Pokémon,electric,,0.6,7.8,50,55,35,40,65,40,45,2,0,5120,1059860,235,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,280,"['Static', 'Plus']"
180,Flaaffy,Mokokoモココ,Wool Pokémon,electric,,0.8,13.3,50,70,45,55,80,55,60,2,0,5120,1059860,120,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,365,"['Static', 'Plus']"
181,Ampharos,Denryuデンリュウ,Light Pokémon,electric,,1.4,61.5,50,90,45,95,165,105,110,2,0,5120,1059860,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,610,"['Static', 'Plus']"
182,Bellossom,Kireihanaキレイハナ,Flower Pokémon,grass,,0.4,5.8,50,75,50,80,90,95,100,2,0,5120,1059860,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,70,490,"['Chlorophyll', 'Healer']"
183,Marill,Marilマリル,Aquamouse Pokémon,water,fairy,0.4,8.5,50,70,40,20,20,50,50,2,0,2560,800000,190,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,70,250,"['Thick Fat', 'Huge Power', 'Sap Sipper']"
184,Azumarill,Marilliマリルリ,Aquarabbit Pokémon,water,fairy,0.8,28.5,50,100,50,50,60,80,80,2,0,2560,800000,75,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,70,420,"['Thick Fat', 'Huge Power', 'Sap Sipper']"
185,Sudowoodo,Usokkieウソッキー,Imitation Pokémon,rock,,1.2,38,50,70,30,100,30,115,65,2,0,5120,1000000,65,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,70,410,"['Sturdy', 'Rock Head', 'Rattled']"
186,Politoed,Nyorotonoニョロトノ,Frog Pokémon,water,,1.1,33.9,50,90,70,75,90,75,100,2,0,5120,1059860,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,500,"['Water Absorb', 'Damp', 'Drizzle']"
187,Hoppip,Haneccoハネッコ,Cottonweed Pokémon,grass,flying,0.4,0.5,50,35,50,35,35,40,55,2,0,5120,1059860,255,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,70,250,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
188,Skiploom,Popoccoポポッコ,Cottonweed Pokémon,grass,flying,0.6,1,50,55,80,45,45,50,65,2,0,5120,1059860,120,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,70,340,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
189,Jumpluff,Wataccoワタッコ,Cottonweed Pokémon,grass,flying,0.8,3,50,75,110,55,55,70,95,2,0,5120,1059860,45,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,70,460,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
190,Aipom,Eipamエイパム,Long Tail Pokémon,normal,,0.8,11.5,50,55,85,70,40,55,55,2,0,5120,800000,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,360,"['Run Away', 'Pickup', 'Skill Link']"
191,Sunkern,Himanutsヒマナッツ,Seed Pokémon,grass,,0.3,1.8,50,30,30,30,30,30,30,2,0,5120,1059860,235,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,70,180,"['Chlorophyll', 'Solar Power', 'Early Bird']"
192,Sunflora,Kimawariキマワリ,Sun Pokémon,grass,,0.8,8.5,50,75,30,75,105,55,85,2,0,5120,1059860,120,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,70,425,"['Chlorophyll', 'Solar Power', 'Early Bird']"
193,Yanma,Yanyanmaヤンヤンマ,Clear Wing Pokémon,bug,flying,1.2,38,50,65,95,65,75,45,45,2,0,5120,1000000,75,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,390,"['Speed Boost', 'Compoundeyes', 'Frisk']"
194,Wooper,Upahウパー,Water Fish Pokémon,water,ground,0.4,8.5,50,55,15,45,25,45,25,2,0,5120,1000000,255,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,70,210,"['Damp', 'Water Absorb', 'Unaware']"
195,Quagsire,Nuohヌオー,Water Fish Pokémon,water,ground,1.4,75,50,95,35,85,65,85,65,2,0,5120,1000000,90,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,70,430,"['Damp', 'Water Absorb', 'Unaware']"
